City,Location,Coordinates,2,3
"TEMPLE, TX","Temple, TX, USA","(31.0982344, -97.342782)",,
"CITY OF INDUSTRY, CA","City of Industry, CA, USA","(34.0197335, -117.9586754)",,
"FOREST PARK, GA","Forest Park, GA, USA","(33.6220542, -84.36909179999999)",,
"FRIDLEY, MN","Fridley, MN, USA","(45.0860765, -93.2632821)",,
"MODESTO, CA","Modesto, CA, USA","(37.63909719999999, -120.9968782)",,
"LIBERTY, MO","Liberty, MO, USA","(39.2461138, -94.4191177)",,
"GULFPORT, MS","Gulfport, MS, USA","(30.3674198, -89.0928155)",,
"WAKEFIELD, MA","Wakefield, MA 01880, USA","(42.5039395, -71.0723391)",,
"SIOUX FALLS, SD","Sioux Falls, SD, USA","(43.5473028, -96.728333)",,
"REGINA, SK","Regina, SK, Canada","(50.4452112, -104.6188943)",,
"SAINT CLOUD, MN","St Cloud, MN, USA","(45.5579451, -94.16324039999999)",,
"TULARE, CA","Tulare, CA 93274, USA","(36.2077288, -119.3473379)",,
"COTTONTON, AL","Cottonton, AL 36871, USA","(32.1468198, -85.07382059999999)",,
"FARGO, ND","Fargo, ND, USA","(46.8771863, -96.7898034)",,
"ADAMS, WI","Adams, WI, USA","(43.95608199999999, -89.81818179999999)",,
"NORTH TONAWANDA, NY","North Tonawanda, NY 14120, USA","(43.038668, -78.8642033)",,
"CHESTERFIELD, MO","Chesterfield, MO, USA","(38.6631083, -90.5770675)",,
"GERMANTOWN, WI","Germantown, WI, USA","(43.2286174, -88.1103691)",,
"SPANISH FORK, UT","Spanish Fork, UT 84660, USA","(40.114955, -111.654923)",,
"LEWISBURG, TN","Lewisburg, TN 37091, USA","(35.4492404, -86.7888887)",,
"TOLEDO, OH","Toledo, OH, USA","(41.6528052, -83.5378674)",,
"HIALEAH, FL","Hialeah, FL, USA","(25.8575963, -80.2781057)",,
"MARION, IN","Marion, IN, USA","(40.5583739, -85.6591442)",,
"MISHAWAKA, IN","Mishawaka, IN, USA","(41.6619927, -86.15861559999999)",,
"BALTIMORE, MD","Baltimore, MD, USA","(39.2903848, -76.6121893)",,
"SALTILLO, MS","Saltillo, MS 38866, USA","(34.3764923, -88.68172009999999)",,
"CHARLOTTE, NC","Charlotte, NC, USA","(35.2270869, -80.8431267)",,
"TULSA, OK","Tulsa, OK, USA","(36.1539816, -95.99277500000001)",,
"CONYERS, GA","Conyers, GA, USA","(33.6676103, -84.01769039999999)",,
"TRACY, CA","Tracy, CA, USA","(37.7396513, -121.4252227)",,
"ROGERS, AR","Rogers, AR, USA","(36.3320196, -94.1185366)",,
"PORTLAND, OR","Portland, OR, USA","(45.5051064, -122.6750261)",,
"SAINT PAUL, MN","St Paul, MN, USA","(44.9537029, -93.0899578)",,
"SAVANNAH, GA","Savannah, GA, USA","(32.0808989, -81.091203)",,
"LANCASTER, OH","Lancaster, OH 43130, USA","(39.7136754, -82.5993294)",,
"WACO, TX","Waco, TX, USA","(31.549333, -97.1466695)",,
"TIPTON, IN","Tipton, IN 46072, USA","(40.2822598, -86.04109799999999)",,
"SAN BERNARDINO, CA","San Bernardino, CA, USA","(34.1083449, -117.2897652)",,
"CHATTANOOGA, TN","Chattanooga, TN, USA","(35.0456297, -85.3096801)",,
"BRIDGEVIEW, IL","Bridgeview, IL, USA","(41.7500323, -87.80422159999999)",,
"CAMDEN, OH","Camden, OH 45311, USA","(39.6289418, -84.6485632)",,
"BECKER, MN","Becker, MN, USA","(45.3936545, -93.8765076)",,
"VINELAND, NJ","Vineland, NJ, USA","(39.4863773, -75.02596369999999)",,
"NEW ORLEANS, LA","New Orleans, LA, USA","(29.95106579999999, -90.0715323)",,
"OKLAHOMA CITY, OK","Oklahoma City, OK, USA","(35.4675602, -97.5164276)",,
"COON RAPIDS, MN","Coon Rapids, MN, USA","(45.1732394, -93.30300629999999)",,
"RAPHINE, VA","Raphine, VA 24472, USA","(37.9373548, -79.2328102)",,
"MOBILE, AL","Mobile, AL, USA","(30.6953657, -88.0398912)",,
"VON ORMY, TX","Von Ormy, TX, USA","(29.28898869999999, -98.64478489999999)",,
"GRIFFIN, GA","Griffin, GA, USA","(33.2467807, -84.2640904)",,
"CHICAGO, IL","Chicago, IL, USA","(41.8781136, -87.6297982)",,
"SYRACUSE, NY","Syracuse, NY, USA","(43.0481221, -76.14742439999999)",,
"PASCO, WA","Pasco, WA 99301, USA","(46.2305049, -119.0922316)",,
"BEDFORD PARK, IL","Bedford Park, IL, USA","(41.7641723, -87.7812524)",,
"TAMPA, FL","Tampa, FL, USA","(27.950575, -82.4571776)",,
"MAGNOLIA, MS","Magnolia, MS, USA","(31.1432328, -90.4587081)",,
"PORTLAND, ME","Portland, ME, USA","(43.6590993, -70.2568189)",,
"DE PERE, WI","De Pere, WI, USA","(44.4488805, -88.0603806)",,
"CEDAR RAPIDS, IA","Cedar Rapids, IA, USA","(41.9778795, -91.6656232)",,
"CONOVER, NC","Conover, NC, USA","(35.7065217, -81.2186933)",,
"LAWRENCE, KS","Lawrence, KS, USA","(38.9716689, -95.2352501)",,
"SAINT JOSEPH, MO","St Joseph, MO, USA","(39.7674578, -94.84668099999999)",,
"CALGARY, AB","Calgary, AB, Canada","(51.04473309999999, -114.0718831)",,
"EL CAJON, CA","El Cajon, CA, USA","(32.7947731, -116.9625269)",,
"AUSTIN, MN","Austin, MN 55912, USA","(43.6666296, -92.97463669999999)",,
"FEDERALSBURG, MD","Federalsburg, MD 21632, USA","(38.6942809, -75.77215509999999)",,
"CULLMAN, AL","Cullman, AL, USA","(34.1748208, -86.8436124)",,
"ALSIP, IL","Alsip, IL, USA","(41.6689223, -87.73866190000001)",,
"SANTA FE SPRINGS, CA","Santa Fe Springs, CA, USA","(33.9472359, -118.0853451)",,
"BARRINGTON, NJ","Barrington, NJ, USA","(39.8648357, -75.05517139999999)",,
"EATON, IN","Eaton, IN 47338, USA","(40.3403206, -85.35080459999999)",,
"FAIRFIELD, NJ","Fairfield, NJ, USA","(40.8837406, -74.3059959)",,
"MIRA LOMA, CA","Mira Loma, Jurupa Valley, CA, USA","(33.9845417, -117.5159449)",,
"APPLETON, WI","Appleton, WI, USA","(44.2619309, -88.41538469999999)",,
"ATTLEBORO, MA","Attleboro, MA, USA","(41.94454409999999, -71.2856082)",,
"HOLYOKE, MA","Holyoke, MA, USA","(42.2042586, -72.6162009)",,
"SALT LAKE CITY, UT","Salt Lake City, UT, USA","(40.7607793, -111.8910474)",,
"COAL CENTER, PA","Coal Center, PA 15423, USA","(40.0684067, -79.9017144)",,
"FLORENCE, KY","Florence, KY, USA","(38.9989499, -84.62661109999999)",,
"SHREVEPORT, LA","Shreveport, LA, USA","(32.5251516, -93.7501789)",,
"HEBRON, KY","Hebron, KY 41048, USA","(39.0661472, -84.70318879999999)",,
"WEST CHESTER, OH","West Chester Township, OH, USA","(39.3321262, -84.41726659999999)",,
"CICERO, IL","Cicero, IL, USA","(41.8455877, -87.7539448)",,
"ASTON, PA","Aston, PA, USA","(39.86481939999999, -75.4257325)",,
"HANOVER PARK, IL","Hanover Park, IL, USA","(41.9994722, -88.1450735)",,
"LITHIA SPRINGS, GA","Lithia Springs, GA, USA","(33.7939953, -84.6604899)",,
"SHELDON SPRINGS, VT","Sheldon Springs, Sheldon, VT, USA","(44.90483100000001, -72.9752094)",,
"BORDEN, PE","Borden-Carleton, PE, Canada","(46.25376259999999, -63.69216220000001)",,
"NEW ALBANY, IN","New Albany, IN 47150, USA","(38.2856247, -85.8241312)",,
"CONWAY, AR","Conway, AR, USA","(35.0886963, -92.4421011)",,
"BATTLE CREEK, MI","Battle Creek, MI, USA","(42.3211522, -85.17971419999999)",,
"WARWICK, QC","Warwick, QC, Canada","(45.949523, -71.99708640000001)",,
"JOPLIN, MO","Joplin, MO, USA","(37.08422710000001, -94.51328099999999)",,
"HARRISON, AR","Harrison, AR 72601, USA","(36.2297936, -93.1076765)",,
"BORDEN-CARLETON, PE","Borden-Carleton, PE, Canada","(46.25376259999999, -63.69216220000001)",,
"KNOXVILLE, TN","Knoxville, TN, USA","(35.9606384, -83.9207392)",,
"DELAWARE WATER GAP, PA","Delaware Water Gap, PA, USA","(40.9792619, -75.1429563)",,
"CLEVELAND, OH","Cleveland, OH, USA","(41.49932, -81.6943605)",,
"CLARKESVILLE, GA","Clarkesville, GA 30523, USA","(34.6125971, -83.5248933)",,
"GREENVILLE, TX","Greenville, TX, USA","(33.1384488, -96.11080659999999)",,
"DEMOPOLIS, AL","Demopolis, AL, USA","(32.5176361, -87.83640199999999)",,
"WAUSAU, WI","Wausau, WI, USA","(44.9591352, -89.6301221)",,
"TUSCALOOSA, AL","Tuscaloosa, AL, USA","(33.2098407, -87.56917349999999)",,
"MANSFIELD, TX","Mansfield, TX, USA","(32.5631924, -97.1416768)",,
"STURGIS, MI","Sturgis, MI 49091, USA","(41.799217, -85.41914820000001)",,
"WALTON, KY","Walton, KY 41094, USA","(38.87561940000001, -84.61022129999999)",,
"GRAND RAPIDS, MI","Grand Rapids, MI, USA","(42.9633599, -85.6680863)",,
"MOUNT PLEASANT, PA","Mt Pleasant, PA 15666, USA","(40.1489607, -79.54114969999999)",,
"WORCESTER, MA","Worcester, MA, USA","(42.2625932, -71.8022934)",,
"MONTGOMERY, AL","Montgomery, AL, USA","(32.3792233, -86.3077368)",,
"SAINT LOUIS, MO","St. Louis, MO, USA","(38.6270025, -90.19940419999999)",,
"PLANT CITY, FL","Plant City, FL, USA","(28.0186323, -82.1128641)",,
"ATLANTA, GA","Atlanta, GA, USA","(33.7489954, -84.3879824)",,
"AURORA, IL","Aurora, IL, USA","(41.7605849, -88.32007150000001)",,
"INDEPENDENCE, MO","Independence, MO, USA","(39.0911161, -94.41550679999999)",,
"SOUTHGATE, MI","Southgate, MI, USA","(42.2139284, -83.19381469999999)",,
"SILSBEE, TX","Silsbee, TX 77656, USA","(30.3490976, -94.17796240000001)",,
"BEAVER DAM, WI","Beaver Dam, WI 53916, USA","(43.4577692, -88.837329)",,
"CLINTON, IA","Clinton, IA, USA","(41.8444735, -90.1887379)",,
"YORK, PA","York, PA, USA","(39.9625984, -76.727745)",,
"SOUTH PLAINFIELD, NJ","South Plainfield, NJ 07080, USA","(40.5792701, -74.4115401)",,
"LANCASTER, PA","Lancaster, PA, USA","(40.0378755, -76.3055144)",,
"MECHANICSBURG, PA","Mechanicsburg, PA, USA","(40.2132692, -77.0080309)",,
"BOWLING GREEN, KY","Bowling Green, KY, USA","(36.9685219, -86.4808043)",,
"COLUMBUS, GA","Columbus, GA, USA","(32.4609764, -84.9877094)",,
"LOUISVILLE, KY","Louisville, KY, USA","(38.2526647, -85.7584557)",,
"FORT SMITH, AR","Fort Smith, AR, USA","(35.3859242, -94.39854749999999)",,
"FREMONT, OH","Fremont, OH 43420, USA","(41.3503303, -83.1218634)",,
"MIAMI, FL","Miami, FL, USA","(25.7616798, -80.1917902)",,
"LEBANON, TN","Lebanon, TN, USA","(36.2081098, -86.2911024)",,
"TINLEY PARK, IL","Tinley Park, IL, USA","(41.5731442, -87.7932939)",,
"WADSWORTH, OH","Wadsworth, OH 44281, USA","(41.0256101, -81.72985190000001)",,
"CANDIAC, QC","Candiac, QC, Canada","(45.3839341, -73.517445)",,
"KINSTON, NC","Kinston, NC, USA","(35.2626635, -77.5816353)",,
"WABASH, IN","Wabash, IN 46992, USA","(40.797821, -85.8205411)",,
"GOODLAND, IN","Goodland, IN 47948, USA","(40.7633727, -87.29363269999999)",,
"TIJUANA, BJ","Tijuana, Baja California, Mexico","(32.5149469, -117.0382471)",,
"SALINAS, CA","Salinas, CA, USA","(36.6777372, -121.6555013)",,
"VISALIA, CA","Visalia, CA, USA","(36.3302284, -119.2920585)",,
"MCALLEN, TX","McAllen, TX, USA","(26.2034071, -98.23001239999999)",,
"FORNEY, TX","Forney, TX 75126, USA","(32.7481845, -96.4719312)",,
"KALAMAZOO, MI","Kalamazoo, MI, USA","(42.2917069, -85.5872286)",,
"BRISTOL, IN","Bristol, IN 46507, USA","(41.7214389, -85.81749459999999)",,
"ORLANDO, FL","Orlando, FL, USA","(28.5383355, -81.3792365)",,
"WHITE BEAR LAKE, MN","White Bear Lake, MN, USA","(45.0853814, -93.0081479)",,
"SEALY, TX","Sealy, TX 77474, USA","(29.7807878, -96.1571833)",,
"DURAND, MI","Durand, MI 48429, USA","(42.91197529999999, -83.984684)",,
"LIVINGSTON, AL","Livingston, AL, USA","(32.5843025, -88.1872475)",,
"MARION, NC","Marion, NC 28752, USA","(35.6840131, -82.00927449999999)",,
"ALBANY, MO","Albany, MO 64402, USA","(40.2486069, -94.33106800000002)",,
"WABASHA, MN","Wabasha, MN 55981, USA","(44.3754518, -92.0236059)",,
"MILPITAS, CA","Milpitas, CA 95035, USA","(37.4323341, -121.8995741)",,
"ATTALLA, AL","Attalla, AL, USA","(34.0217639, -86.0885852)",,
"NEWARK, NJ","Newark, NJ, USA","(40.735657, -74.1723667)",,
"EDISON, NJ","Edison, NJ, USA","(40.5187154, -74.4120953)",,
"SAN ANTONIO, TX","San Antonio, TX, USA","(29.4241219, -98.49362819999999)",,
"RICHLAND, MS","Richland, MS, USA","(32.2392201, -90.1653535)",,
"GILROY, CA","Gilroy, CA 95020, USA","(37.0029828, -121.5566373)",,
"MCCLELLAN, CA","McClellan Park, CA, USA","(38.6733377, -121.390048)",,
"MASON, MI","Mason, MI 48854, USA","(42.5792027, -84.4435845)",,
"NOGALES, AZ","Nogales, AZ 85621, USA","(31.3403775, -110.9342532)",,
"DANVILLE, KY","Danville, KY, USA","(37.6456329, -84.77217019999999)",,
"BOISE, ID","Boise, ID, USA","(43.6150186, -116.2023137)",,
"MARKHAM, ON","Markham, ON, Canada","(43.8561002, -79.3370188)",,
"WESTMINSTER, MA","Westminster, MA, USA","(42.5459227, -71.91063079999999)",,
"CLINTONVILLE, WI","Clintonville, WI 54929, USA","(44.6205349, -88.76232279999999)",,
"CLAREMONT, NC","Claremont, NC, USA","(35.7145776, -81.1461917)",,
"GALESBURG, IL","Galesburg, IL 61401, USA","(40.94781580000001, -90.3712395)",,
"MINNEAPOLIS, MN","Minneapolis, MN, USA","(44.977753, -93.2650108)",,
"DECATUR, AL","Decatur, AL, USA","(34.6059253, -86.9833417)",,
"BAY MINETTE, AL","Bay Minette, AL 36507, USA","(30.8829628, -87.7730474)",,
"FRANKLIN PARK, IL","Franklin Park, IL, USA","(41.9348537, -87.87952299999999)",,
"ARLINGTON, TX","Arlington, TX, USA","(32.735687, -97.10806559999999)",,
"SAINTE-MARIE, QC","Sainte-Marie, QC, Canada","(46.4390284, -71.0213182)",,
"YAKIMA, WA","Yakima, WA, USA","(46.6020711, -120.5058987)",,
"SHAFTER, CA","Shafter, CA, USA","(35.5005139, -119.2717761)",,
"MOUNT ROYAL, QC","Mount Royal, QC, Canada","(45.5125819, -73.6468307)",,
"SPARTANBURG, SC","Spartanburg, SC, USA","(34.9495672, -81.9320482)",,
"ETOBICOKE, ON","Etobicoke, Toronto, ON, Canada","(43.6204946, -79.5131983)",,
"BRAINERD, MN","Brainerd, MN 56401, USA","(46.3526733, -94.2020084)",,
"TORONTO, ON","Toronto, ON, Canada","(43.653226, -79.3831843)",,
"LIVERPOOL, NY","Liverpool, NY, USA","(43.106456, -76.21770459999999)",,
"MEBANE, NC","Mebane, NC 27302, USA","(36.0959715, -79.2669619)",,
"NORTH KANSAS CITY, MO","North Kansas City, MO, USA","(39.14290810000001, -94.5729781)",,
"TWIN FALLS, ID","Twin Falls, ID, USA","(42.5558381, -114.4700518)",,
"MESQUITE, TX","Mesquite, TX, USA","(32.76679550000001, -96.5991593)",,
"LEBANON, OH","Lebanon, OH 45036, USA","(39.4353373, -84.2029922)",,
"NORTHBOROUGH, MA","Northborough, MA 01532, USA","(42.3195556, -71.6411997)",,
"PLYMOUTH, IN","Plymouth, IN 46563, USA","(41.3436554, -86.3097278)",,
"ASHLAND, OH","Ashland, OH 44805, USA","(40.8686675, -82.3182178)",,
"MARSHALL, MN","Marshall, MN 56258, USA","(44.448423, -95.79119159999999)",,
"SPOKANE, WA","Spokane, WA, USA","(47.6587802, -117.4260465)",,
"SHEBOYGAN, WI","Sheboygan, WI, USA","(43.7508284, -87.71453)",,
"DETROIT, MI","Detroit, MI, USA","(42.331427, -83.0457538)",,
"DELAWARE, OH","Delaware, OH 43015, USA","(40.2986724, -83.067965)",,
"STOCKTON, CA","Stockton, CA, USA","(37.9577016, -121.2907796)",,
"BELLEVILLE, IL","Belleville, IL, USA","(38.5200504, -89.9839935)",,
"QUEBEC, QC","Quebec City, QC, Canada","(46.8138783, -71.2079809)",,
"FRENCHTOWN, NJ","Frenchtown, NJ 08825, USA","(40.5262138, -75.06156)",,
"ELK GROVE, CA","Elk Grove, CA, USA","(38.4087993, -121.3716178)",,
"ELIZABETH, NJ","Elizabeth, NJ, USA","(40.6639916, -74.2107006)",,
"WALDEN, NY","Walden, NY 12586, USA","(41.5612048, -74.18848059999999)",,
"DIEPPE, NB","Dieppe, NB, Canada","(46.0952765, -64.7486638)",,
"CAROL STREAM, IL","Carol Stream, IL, USA","(41.91252859999999, -88.13479269999999)",,
"OSGOOD, IN","Osgood, IN 47037, USA","(39.1292199, -85.29162790000001)",,
"AJAX, ON","Ajax, ON, Canada","(43.8508553, -79.0203732)",,
"DEVENS, MA","Devens, MA, USA","(42.5455027, -71.6139348)",,
"KINGSEY FALLS, QC","Kingsey Falls, QC J0A, Canada","(45.8606766, -72.0712829)",,
"SIOUX CITY, IA","Sioux City, IA, USA","(42.4963416, -96.40494079999999)",,
"MOOSIC, PA","Moosic, PA, USA","(41.353413, -75.7382478)",,
"WEBB CITY, MO","Webb City, MO, USA","(37.1464475, -94.4630035)",,
"EDDYSTONE, PA","Eddystone, PA 19022, USA","(39.8601125, -75.3443561)",,
"MARION, OH","Marion, OH 43302, USA","(40.5886699, -83.1285242)",,
"BREMEN, IN","Bremen, IN 46506, USA","(41.44643600000001, -86.14805799999999)",,
"EAST WINDSOR, CT","East Windsor, CT, USA","(41.9161361, -72.5578799)",,
"SPRINGFIELD, OH","Springfield, OH, USA","(39.9242266, -83.8088171)",,
"HICKORY, NC","Hickory, NC, USA","(35.7344538, -81.3444573)",,
"NEW LENOX, IL","New Lenox, IL, USA","(41.5119761, -87.9656098)",,
"NAPLES, FL","Naples, FL, USA","(26.1420358, -81.7948103)",,
"HANFORD, CA","Hanford, CA 93230, USA","(36.3274502, -119.6456844)",,
"NORTHLAKE, IL","Northlake, IL, USA","(41.9172526, -87.8956185)",,
"ELKHART, IN","Elkhart, IN, USA","(41.6819935, -85.9766671)",,
"MONTGOMERY, IL","Montgomery, IL, USA","(41.730585, -88.3459048)",,
"MONTREAL, QC","Montreal, QC, Canada","(45.5016889, -73.567256)",,
"LASALLE, QC","Lasalle, Montreal, QC, Canada","(45.4306269, -73.6348015)",,
"BROOKLYN PARK, MN","Brooklyn Park, MN, USA","(45.0941315, -93.3563405)",,
"MIDDLETOWN, OH","Middletown, OH, USA","(39.5150576, -84.39827629999999)",,
"HASTINGS, NE","Hastings, NE, USA","(40.5862583, -98.38987259999999)",,
"WICHITA, KS","Wichita, KS, USA","(37.68717609999999, -97.33005299999999)",,
"TABOR CITY, NC","Tabor City, NC 28463, USA","(34.1487804, -78.8766916)",,
"LOWELL, MA","Lowell, MA, USA","(42.6334247, -71.31617179999999)",,
"WINONA, MN","Winona, MN 55987, USA","(44.0553908, -91.6663523)",,
"BELMONT, MI","Belmont, Plainfield Charter Township, MI 49306, USA","(43.0747937, -85.6123238)",,
"NEW CASTLE, PA","New Castle, PA, USA","(41.0036719, -80.34700900000001)",,
"CANNON FALLS, MN","Cannon Falls, MN 55009, USA","(44.5069113, -92.905484)",,
"MACON, GA","Macon, GA, USA","(32.8406946, -83.6324022)",,
"PATERSON, NJ","Paterson, NJ, USA","(40.9167654, -74.17181099999999)",,
"STATESVILLE, NC","Statesville, NC, USA","(35.7826363, -80.8872959)",,
"LOGAN, OH","Logan, OH 43138, USA","(39.5400672, -82.4070986)",,
"PITTSTON, PA","Pittston, PA, USA","(41.3259134, -75.78936039999999)",,
"PINEVILLE, LA","Pineville, LA, USA","(31.3224044, -92.4343035)",,
"KNOX, IN","Knox, IN 46534, USA","(41.2958751, -86.6250139)",,
"MIDDLETOWN, NY","Middletown, NY 10940, USA","(41.4459271, -74.42293409999999)",,
"OLIVE BRANCH, MS","Olive Branch, MS 38654, USA","(34.9617604, -89.8295315)",,
"DICKINSON, ND","Dickinson, ND 58601, USA","(46.8791756, -102.7896242)",,
"THREE RIVERS, MI","Three Rivers, MI 49093, USA","(41.9439368, -85.632493)",,
"HOUSTON, TX","Houston, TX, USA","(29.7604267, -95.3698028)",,
"KINGSBURG, CA","Kingsburg, CA 93631, USA","(36.5138398, -119.5540175)",,
"WILMINGTON, DE","Wilmington, DE, USA","(39.744655, -75.5483909)",,
"NEENAH, WI","Neenah, WI 54956, USA","(44.1858193, -88.462609)",,
"AMSTERDAM, NY","Amsterdam, NY 12010, USA","(42.9377453, -74.190356)",,
"DARLINGTON, SC","Darlington, SC 29532, USA","(34.2998762, -79.8761741)",,
"JACKSON, TN","Jackson, TN, USA","(35.6145169, -88.81394689999999)",,
"RALEIGH, NC","Raleigh, NC, USA","(35.7795897, -78.6381787)",,
"MOUNT CARMEL, PA","Mt Carmel, PA 17851, USA","(40.7970312, -76.41189609999999)",,
